YEAR,day_of_year,count
2023,12-10,95
2023,12-11,108
2023,12-12,104
2023,12-13,102
2023,12-14,91
2023,12-15,125
2023,12-16,105
2023,12-17,107
2023,12-18,163
2023,12-19,108
2023,12-20,122
2023,12-21,101
2023,12-22,118
2023,12-23,94
2023,12-24,83
2023,12-25,52
2023,12-26,106
2023,12-27,95
2023,12-28,91
2023,12-29,99
2023,12-30,98
2023,12-31,90
2024,01-01,111
2024,01-02,74
2024,01-03,89
2024,01-04,96
2024,01-05,85
2024,01-06,102
2024,01-07,62
2024,01-08,77
2024,01-09,97
2024,01-10,108
2024,01-11,95
2024,01-12,94
2024,01-13,100
2024,01-14,89
2024,01-15,76
2024,01-16,80
2024,01-17,86
2024,01-18,91
2024,01-19,78
2024,01-20,89
2024,01-21,72
2024,01-22,97
2024,01-23,95
2024,01-24,92
2024,01-25,104
2024,01-26,123
2024,01-27,93
2024,01-28,97
2024,01-29,85
2024,01-30,83
2024,01-31,81
2024,02-01,111
2024,02-02,113
2024,02-03,95
2024,02-04,67
2024,02-05,29
2024,02-06,95
2024,02-07,102
2024,02-08,84
2024,02-09,99
2024,02-10,97
2024,02-11,75
2024,02-12,116
2024,02-13,79
2024,02-14,91
2024,02-15,101
2024,02-16,77
2024,02-17,94
2024,02-18,91
2024,02-19,98
2024,02-20,88
2024,02-21,105
2024,02-22,83
2024,02-23,105
2024,02-24,87
2024,02-25,69
2024,02-26,106
2024,02-27,83
2024,02-28,75
2024,02-29,88
2024,03-01,120
2024,03-02,85
2024,03-03,91
2024,03-04,63
2024,03-05,81
2024,03-06,82
2024,03-07,53
2024,03-08,2
2024,03-09,4
2024,03-10,5
2024,03-11,11
2024,03-12,11
2024,03-13,12
2024,03-14,47
2024,03-15,107
2024,03-16,90
2024,03-17,116
2024,03-18,115
2024,03-19,100
2024,03-20,91
2024,03-21,86
2024,03-22,107
2024,03-23,83
2024,03-24,86
2024,03-25,98
2024,03-26,84
2024,03-27,86
2024,03-28,96
2024,03-29,102
2024,03-30,107
2024,03-31,83
2024,04-01,100
2024,04-02,103
2024,04-03,95
2024,04-04,73
2024,04-05,110
2024,04-06,88
2024,04-07,72
2024,04-08,98
2024,04-09,85
2024,04-10,82
2024,04-11,92
2024,04-12,101
2024,04-13,113
2024,04-14,89
2024,04-15,93
2024,04-16,117
2024,04-17,103
2024,04-18,78
2024,04-19,86
2024,04-20,83
2024,04-21,84
2024,04-22,67
2024,04-23,99
2024,04-24,97
2024,04-25,105
2024,04-26,105
2024,04-27,93
2024,04-28,102
2024,04-29,91
2024,04-30,108
2024,05-01,93
2024,05-02,71
2024,05-03,3
