YEAR,day_of_year,count
2017,01-09,127
2017,01-10,141
2017,01-11,139
2017,01-12,148
2017,01-13,144
2017,01-14,159
2017,01-15,132
2017,01-16,125
2017,01-17,157
2017,01-18,135
2017,01-19,133
2017,01-20,161
2017,01-21,183
2017,01-22,141
2017,01-23,153
2017,01-24,154
2017,01-25,150
2017,01-26,154
2017,01-27,162
2017,01-28,180
2017,01-29,135
2017,01-30,137
2017,01-31,113
2017,02-01,159
2017,02-02,134
2017,02-03,110
2017,02-04,145
2017,02-05,123
2017,02-06,117
2017,02-07,154
2017,02-08,149
2017,02-09,88
2017,02-10,142
2017,02-11,137
2017,02-12,112
2017,02-13,143
2017,02-14,167
2017,02-15,163
2017,02-16,163
2017,02-17,157
2017,02-18,145
2017,02-19,140
2017,02-20,132
2017,02-21,126
2017,02-22,144
2017,02-23,131
2017,02-24,207
2017,02-25,157
2017,02-26,125
2017,02-27,160
2017,02-28,166
2017,03-01,155
2017,03-02,151
2017,03-03,132
2017,03-04,112
2017,03-05,112
2017,03-06,116
2017,03-07,131
2017,03-08,152
2017,03-09,125
2017,03-10,130
2017,03-11,117
2017,03-12,120
2017,03-13,131
2017,03-14,81
2017,03-15,94
2017,03-16,132
2017,03-17,161
2017,03-18,139
2017,03-19,126
2017,03-20,164
2017,03-21,156
2017,03-22,131
2017,03-23,137
2017,03-24,123
2017,03-25,125
2017,03-26,128
2017,03-27,130
2017,03-28,121
2017,03-29,134
2017,03-30,148
2017,03-31,143
2017,04-01,165
2017,04-02,145
2017,04-03,142
2017,04-04,120
2017,04-05,136
2017,04-06,129
2017,04-07,160
2017,04-08,127
2017,04-09,123
2017,04-10,158
2017,04-11,162
2017,04-12,149
2017,04-13,169
2017,04-14,117
2017,04-15,137
2017,04-16,136
2017,04-17,153
2017,04-18,146
2017,04-19,149
2017,04-20,127
2017,04-21,133
2017,04-22,132
2017,04-23,170
2017,04-24,153
2017,04-25,130
2017,04-26,143
2017,04-27,157
2017,04-28,159
2017,04-29,160
2017,04-30,138
2017,05-01,179
2017,05-02,149
2017,05-03,137
2017,05-04,153
2017,05-05,175
2017,05-06,152
2017,05-07,146
2017,05-08,126
2017,05-09,149
2017,05-10,124
2017,05-11,127
2017,05-12,151
2017,05-13,163
2017,05-14,112
2017,05-15,134
2017,05-16,198
2017,05-17,172
2017,05-18,152
2017,05-19,165
2017,05-20,169
2017,05-21,149
2017,05-22,127
2017,05-23,133
2017,05-24,166
2017,05-25,135
2017,05-26,161
2017,05-27,136
2017,05-28,136
2017,05-29,141
2017,05-30,146
2017,05-31,147
2017,06-01,199
2017,06-02,168
2017,06-03,166
2017,06-04,138
2017,06-05,145
2017,06-06,126
2017,06-07,162
2017,06-08,177
2017,06-09,139
2017,06-10,155
2017,06-11,166
2017,06-12,147
2017,06-13,170
2017,06-14,149
2017,06-15,156
2017,06-16,188
2017,06-17,130
2017,06-18,144
2017,06-19,170
2017,06-20,159
2017,06-21,170
2017,06-22,150
2017,06-23,168
2017,06-24,152
2017,06-25,188
2017,06-26,176
2017,06-27,166
2017,06-28,189
2017,06-29,157
2017,06-30,126
2017,07-01,210
2017,07-02,147
2017,07-03,178
2017,07-04,161
2017,07-05,184
2017,07-06,182
2017,07-07,136
2017,07-08,160
2017,07-09,148
2017,07-10,177
2017,07-11,152
2017,07-12,149
2017,07-13,138
2017,07-14,174
2017,07-15,155
2017,07-16,168
2017,07-17,178
2017,07-18,178
2017,07-19,150
2017,07-20,147
2017,07-21,151
2017,07-22,174
2017,07-23,120
2017,07-24,120
2017,07-25,162
2017,07-26,165
2017,07-27,172
2017,07-28,142
2017,07-29,170
2017,07-30,145
2017,07-31,189
2017,08-01,213
2017,08-02,130
2017,08-03,169
2017,08-04,198
2017,08-05,155
2017,08-06,148
2017,08-07,162
2017,08-08,163
2017,08-09,176
2017,08-10,157
2017,08-11,140
2017,08-12,182
2017,08-13,153
2017,08-14,176
2017,08-15,156
2017,08-16,177
2017,08-17,144
2017,08-18,169
2017,08-19,171
2017,08-20,183
2017,08-21,160
2017,08-22,163
2017,08-23,174
2017,08-24,161
2017,08-25,165
2017,08-26,141
2017,08-27,167
2017,08-28,167
2017,08-29,161
2017,08-30,132
2017,08-31,154
2017,09-01,201
2017,09-02,139
2017,09-03,122
2017,09-04,116
2017,09-05,146
2017,09-06,133
2017,09-07,164
2017,09-08,186
2017,09-09,146
2017,09-10,157
2017,09-11,149
2017,09-12,154
2017,09-13,166
2017,09-14,155
2017,09-15,173
2017,09-16,173
2017,09-17,165
2017,09-18,140
2017,09-19,139
2017,09-20,146
2017,09-21,187
2017,09-22,199
2017,09-23,172
2017,09-24,176
2017,09-25,170
2017,09-26,167
2017,09-27,162
2017,09-28,154
2017,09-29,144
2017,09-30,132
2017,10-01,204
2017,10-02,142
2017,10-03,123
2017,10-04,162
2017,10-05,160
2017,10-06,155
2017,10-07,167
2017,10-08,155
2017,10-09,122
2017,10-10,173
2017,10-11,142
2017,10-12,150
2017,10-13,172
2017,10-14,149
2017,10-15,143
2017,10-16,161
2017,10-17,126
2017,10-18,160
2017,10-19,161
2017,10-20,162
2017,10-21,144
2017,10-22,142
2017,10-23,147
2017,10-24,152
2017,10-25,158
2017,10-26,139
2017,10-27,165
2017,10-28,156
2017,10-29,147
2017,10-30,166
2017,10-31,173
2017,11-01,160
2017,11-02,138
2017,11-03,171
2017,11-04,153
2017,11-05,156
2017,11-06,141
2017,11-07,151
2017,11-08,145
2017,11-09,140
2017,11-10,155
2017,11-11,128
2017,11-12,104
2017,11-13,110
2017,11-14,157
2017,11-15,121
2017,11-16,139
2017,11-17,131
2017,11-18,137
2017,11-19,130
2017,11-20,150
2017,11-21,158
2017,11-22,119
2017,11-23,80
2017,11-24,110
2017,11-25,144
2017,11-26,116
2017,11-27,136
2017,11-28,151
2017,11-29,161
2017,11-30,131
2017,12-01,173
2017,12-02,138
2017,12-03,142
2017,12-04,144
2017,12-05,139
2017,12-06,169
2017,12-07,144
2017,12-08,150
2017,12-09,144
2017,12-10,124
2017,12-11,115
2017,12-12,137
2017,12-13,121
2017,12-14,124
2017,12-15,164
2017,12-16,139
2017,12-17,123
2017,12-18,123
2017,12-19,117
2017,12-20,165
2017,12-21,137
2017,12-22,121
2017,12-23,123
2017,12-24,113
2017,12-25,80
2017,12-26,100
2017,12-27,116
2017,12-28,120
2017,12-29,101
2017,12-30,117
2017,12-31,120
2018,01-01,163
2018,01-02,109
2018,01-03,150
2018,01-04,76
2018,01-05,89
2018,01-06,113
2018,01-07,97
2018,01-08,157
2018,01-09,172
2018,01-10,149
2018,01-11,158
2018,01-12,165
2018,01-13,162
2018,01-14,130
2018,01-15,122
2018,01-16,138
2018,01-17,151
2018,01-18,122
2018,01-19,144
2018,01-20,117
2018,01-21,126
2018,01-22,131
2018,01-23,142
2018,01-24,115
2018,01-25,126
2018,01-26,158
2018,01-27,141
2018,01-28,143
2018,01-29,131
2018,01-30,135
2018,01-31,99
2018,02-01,152
2018,02-02,121
2018,02-03,117
2018,02-04,145
2018,02-05,141
2018,02-06,122
2018,02-07,104
2018,02-08,146
2018,02-09,124
2018,02-10,141
2018,02-11,121
2018,02-12,122
2018,02-13,118
2018,02-14,147
2018,02-15,170
2018,02-16,144
2018,02-17,139
2018,02-18,100
2018,02-19,113
2018,02-20,153
2018,02-21,154
2018,02-22,105
2018,02-23,132
2018,02-24,125
2018,02-25,116
2018,02-26,150
2018,02-27,127
2018,02-28,137
2018,03-01,158
2018,03-02,160
2018,03-03,117
2018,03-04,133
2018,03-05,122
2018,03-06,136
2018,03-07,102
2018,03-08,130
2018,03-09,142
2018,03-10,153
2018,03-11,97
2018,03-12,119
2018,03-13,76
2018,03-14,114
2018,03-15,135
2018,03-16,137
2018,03-17,151
2018,03-18,158
2018,03-19,112
2018,03-20,116
2018,03-21,132
2018,03-22,105
2018,03-23,137
2018,03-24,140
2018,03-25,131
2018,03-26,157
2018,03-27,131
2018,03-28,153
2018,03-29,139
2018,03-30,146
2018,03-31,149
2018,04-01,146
2018,04-02,145
2018,04-03,129
2018,04-04,150
2018,04-05,156
2018,04-06,118
2018,04-07,153
2018,04-08,118
2018,04-09,125
2018,04-10,167
2018,04-11,153
2018,04-12,155
2018,04-13,146
2018,04-14,168
2018,04-15,103
2018,04-16,114
2018,04-17,142
2018,04-18,132
2018,04-19,143
2018,04-20,151
2018,04-21,146
2018,04-22,136
2018,04-23,119
2018,04-24,128
2018,04-25,149
2018,04-26,168
2018,04-27,155
2018,04-28,162
2018,04-29,129
2018,04-30,144
2018,05-01,165
2018,05-02,173
2018,05-03,138
2018,05-04,182
2018,05-05,186
2018,05-06,150
2018,05-07,176
2018,05-08,142
2018,05-09,135
2018,05-10,190
2018,05-11,175
2018,05-12,141
2018,05-13,137
2018,05-14,132
2018,05-15,166
2018,05-16,144
2018,05-17,185
2018,05-18,158
2018,05-19,158
2018,05-20,160
2018,05-21,175
2018,05-22,159
2018,05-23,178
2018,05-24,152
2018,05-25,145
